Municipio,País,Provincia,Latitud (generado),Longitud (generado),Casos,Fecha actualización
9 de July,Argentina,Provincia de Buenos Aires,,,3,10-4-2020
Alberti,Argentina,Provincia de Buenos Aires,"-35,0281","-60,2837",2,10-4-2020
Almirante Brown,Argentina,Provincia de Buenos Aires,"-34,84","-58,3708",7,10-4-2020
Avellaneda,Argentina,Provincia de Buenos Aires,"-34,6831","-58,3363",14,10-4-2020
Azul,Argentina,Provincia de Buenos Aires,"-36,8392","-59,6821",2,10-4-2020
Bahía Blanca,Argentina,Provincia de Buenos Aires,"-38,59","-62,1871",14,10-4-2020
Berazategui,Argentina,Provincia de Buenos Aires,"-34,8409","-58,1403",7,10-4-2020
Bragado,Argentina,Provincia de Buenos Aires,"-35,0295","-60,6034",1,10-4-2020
Brandsen,Argentina,Provincia de Buenos Aires,"-35,2004","-58,2448",1,10-4-2020
Campana,Argentina,Provincia de Buenos Aires,"-34,1598","-58,8888",3,10-4-2020
Cañuelas,Argentina,Provincia de Buenos Aires,"-35,1608","-58,7185",1,10-4-2020
Carlos Casares,Argentina,Provincia de Buenos Aires,"-35,7261","-61,3036",2,10-4-2020
Chivilcoy,Argentina,Provincia de Buenos Aires,"-34,9098","-59,9774",1,10-4-2020
Colón,Argentina,Provincia de Buenos Aires,"-33,8469","-61,0325",1,10-4-2020
Coronel Dorrego,Argentina,Provincia de Buenos Aires,"-38,6425","-61,1528",1,10-4-2020
Daireaux,Argentina,Provincia de Buenos Aires,"-36,6155","-61,943",1,10-4-2020
Dolores,Argentina,Provincia de Buenos Aires,"-36,4261","-57,598",2,10-4-2020
Ensenada,Argentina,Provincia de Buenos Aires,"-34,842","-57,9991",1,10-4-2020
Escobar,Argentina,Provincia de Buenos Aires,"-34,3278","-58,7806",14,10-4-2020
Esteban Echeverría,Argentina,Provincia de Buenos Aires,"-34,8213","-58,4742",11,10-4-2020
Exaltación de la Cruz,Argentina,Provincia de Buenos Aires,"-34,3115","-59,1302",1,10-4-2020
Ezeiza,Argentina,Provincia de Buenos Aires,"-34,874","-58,5731",3,10-4-2020
Florencio Varela,Argentina,Provincia de Buenos Aires,"-34,8869","-58,2538",9,10-4-2020
Florentino Ameghino,Argentina,Provincia de Buenos Aires,"-34,8885","-62,4116",1,10-4-2020
General Pueyrredón,Argentina,Provincia de Buenos Aires,"-37,9735","-57,7835",14,10-4-2020
General San Martín,Argentina,Provincia de Buenos Aires,"-34,5446","-58,5708",9,10-4-2020
Hurlingham,Argentina,Provincia de Buenos Aires,"-34,598","-58,6539",3,10-4-2020
Ituzaingó,Argentina,Provincia de Buenos Aires,"-34,64","-58,6897",10,10-4-2020
José C. Paz,Argentina,Provincia de Buenos Aires,"-34,5053","-58,7791",4,10-4-2020
Junín,Argentina,Provincia de Buenos Aires,"-34,5484","-60,9758",1,10-4-2020
La Costa,Argentina,Provincia de Buenos Aires,"-36,6559","-56,6926",1,10-4-2020
La Matanza,Argentina,Provincia de Buenos Aires,"-34,7741","-58,6352",35,10-4-2020
La Plata,Argentina,Provincia de Buenos Aires,"-35,0329","-57,9881",15,10-4-2020
Lanús,Argentina,Provincia de Buenos Aires,"-34,7081","-58,3936",11,10-4-2020
Lobería,Argentina,Provincia de Buenos Aires,"-38,0695","-58,6898",2,10-4-2020
Lobos,Argentina,Provincia de Buenos Aires,"-35,2075","-59,155",1,10-4-2020
Lomas de Zamora,Argentina,Provincia de Buenos Aires,"-34,7514","-58,409",18,10-4-2020
Luján,Argentina,Provincia de Buenos Aires,"-34,589","-59,1587",5,10-4-2020
Malvinas Argentinas,Argentina,Provincia de Buenos Aires,"-34,4843","-58,7212",11,10-4-2020
Mar Chiquita,Argentina,Provincia de Buenos Aires,"-37,4823","-57,6563",1,10-4-2020
Marcos Paz,Argentina,Provincia de Buenos Aires,"-34,8206","-58,8346",2,10-4-2020
Mercedes,Argentina,Provincia de Buenos Aires,"-34,7012","-59,4293",1,10-4-2020
Merlo,Argentina,Provincia de Buenos Aires,"-34,706","-58,7477",10,10-4-2020
Moreno,Argentina,Provincia de Buenos Aires,"-34,5936","-58,8044",31,10-4-2020
Morón,Argentina,Provincia de Buenos Aires,"-34,6463","-58,6191",11,10-4-2020
Necochea,Argentina,Provincia de Buenos Aires,"-38,1794","-59,1146",3,10-4-2020
Olavarría,Argentina,Provincia de Buenos Aires,"-36,857","-60,7131",3,10-4-2020
Pergamino,Argentina,Provincia de Buenos Aires,"-33,8637","-60,5808",1,10-4-2020
Pilar,Argentina,Provincia de Buenos Aires,"-34,4391","-58,8995",27,10-4-2020
Pinamar,Argentina,Provincia de Buenos Aires,"-37,1038","-56,8652",2,10-4-2020
Quilmes,Argentina,Provincia de Buenos Aires,"-34,7399","-58,2751",15,10-4-2020
San Andrés de Giles,Argentina,Provincia de Buenos Aires,"-34,426","-59,4696",2,10-4-2020
San Antonio de Areco,Argentina,Provincia de Buenos Aires,"-34,2162","-59,5743",2,10-4-2020
San Cayetano,Argentina,Provincia de Buenos Aires,"-38,4016","-59,6307",1,10-4-2020
San Fernando,Argentina,Provincia de Buenos Aires,"-34,1626","-58,5612",6,10-4-2020
San Isidro,Argentina,Provincia de Buenos Aires,"-34,4885","-58,5398",30,10-4-2020
San Miguel,Argentina,Provincia de Buenos Aires,"-34,5536","-58,7025",21,10-4-2020
San Nicolás,Argentina,Provincia de Buenos Aires,"-33,4696","-60,2916",5,10-4-2020
San Vicente,Argentina,Provincia de Buenos Aires,"-35,0856","-58,4234",1,10-4-2020
Tandil,Argentina,Provincia de Buenos Aires,"-37,3333","-59,1824",2,10-4-2020
Tigre,Argentina,Provincia de Buenos Aires,"-34,4003","-58,6066",15,10-4-2020
Trenque Lauquen,Argentina,Provincia de Buenos Aires,"-36,0921","-62,6413",2,10-4-2020
Tres Arroyos,Argentina,Provincia de Buenos Aires,"-38,477","-60,2709",1,10-4-2020
Tres de Febrero,Argentina,Provincia de Buenos Aires,"-34,6008","-58,5625",12,10-4-2020
Vicente López,Argentina,Provincia de Buenos Aires,"-34,5296","-58,5068",32,10-4-2020
Zárate,Argentina,Provincia de Buenos Aires,"-34,0034","-59,1464",2,10-4-2020
