Prov,City,Latitude,Longitude,Casos Confirmados,Fecha actualización
Río Negro,Bariloche,-41.1334421,-71.3098425,38,12/4/2020
Río Negro,Cipolletti,-38.9278173,-67.9925103,10,12/4/2020
Río Negro,Choele Choel,-39.2946503,-65.6551733,8,12/4/2020
Río Negro,Allen,-39.0194815,-67.7791788,5,12/4/2020
Río Negro,Dina Huapi,-41.0760799,-71.1722506,3,12/4/2020
Río Negro,Catriel,-37.8794088,-67.7932024,3,12/4/2020
Río Negro,Río Colorado,-38.9936107,-64.0945316,2,12/4/2020
Río Negro,Luis Beltrán,-39.3107807,-65.7635561,2,12/4/2020
Río Negro,El Bolsón,-41.964979,-71.5344268,2,12/4/2020
Río Negro,Villa Regina,-39.1012244,-67.0881954,1,12/4/2020
Río Negro,General Conesa,-40.1063612,-64.4533012,1,12/4/2020
Río Negro,General Roca,-39.012981,-67.5956831,2,12/4/2020
Río Negro,Viedma,-40.8089231,-62.9944527,1,12/4/2020
