fecha,osm_admin_level_2,osm_admin_level_4,SUM de nue_casosconf_diff,SUM de nue_fallecidos_diff,SUM de tot_recuperados,SUM de tot_test_negativos,SUM de tot_test
,,,0,0,0,0,0
2/03/2020,Argentina,CABA,1,0,0,0,0
3/03/2020,Argentina,Indeterminado,0,0,0,0,0
4/03/2020,Argentina,Indeterminado,0,0,0,0,0
5/03/2020,Argentina,Buenos Aires,1,0,0,0,0
6/03/2020,Argentina,Indeterminado,0,0,0,0,0
7/03/2020,Argentina,Indeterminado,0,0,0,0,0
8/03/2020,Argentina,Buenos Aires,10,0,0,0,0
9/03/2020,Argentina,CABA,1,1,0,0,0
9/03/2020,Argentina,Chaco,2,0,0,0,0
9/03/2020,Argentina,Río Negro,1,0,0,0,0
9/03/2020,Argentina,San Luis,1,0,0,0,0
10/03/2020,Argentina,Buenos Aires,1,0,0,0,0
10/03/2020,Argentina,CABA,1,0,0,0,0
11/03/2020,Argentina,Buenos Aires,1,0,0,0,0
11/03/2020,Argentina,CABA,1,0,0,0,0
12/03/2020,Argentina,Indeterminado,10,0,0,0,0
13/03/2020,Argentina,Buenos Aires,1,0,0,0,0
13/03/2020,Argentina,CABA,2,1,0,0,0
14/03/2020,Argentina,Indeterminado,11,0,0,0,0
15/03/2020,Argentina,Buenos Aires,1,0,0,0,0
15/03/2020,Argentina,CABA,6,0,0,0,0
15/03/2020,Argentina,Chaco,2,0,0,0,0
15/03/2020,Argentina,Tierra Del Fuego,2,0,0,0,0
16/03/2020,Argentina,Buenos Aires,1,0,0,0,0
16/03/2020,Argentina,CABA,5,0,0,0,0
16/03/2020,Argentina,Chaco,3,0,0,0,0
17/03/2020,Argentina,Buenos Aires,1,0,0,0,0
17/03/2020,Argentina,CABA,4,0,0,0,0
17/03/2020,Argentina,Chaco,1,0,0,0,0
17/03/2020,Argentina,Córdoba,2,0,0,0,0
17/03/2020,Argentina,Entre Ríos,1,0,0,0,0
17/03/2020,Argentina,Jujuy,1,0,0,0,0
17/03/2020,Argentina,Río Negro,1,0,0,0,0
17/03/2020,Argentina,Salta,1,0,0,0,0
17/03/2020,Argentina,Santa Cruz,1,0,0,0,0
18/03/2020,Argentina,Buenos Aires,6,0,0,0,0
18/03/2020,Argentina,CABA,10,0,0,0,0
18/03/2020,Argentina,Chaco,1,0,0,0,0
18/03/2020,Argentina,Córdoba,1,0,0,0,0
18/03/2020,Argentina,Entre Ríos,1,0,0,0,0
19/03/2020,Argentina,Buenos Aires,15,0,0,0,0
19/03/2020,Argentina,CABA,8,1,0,0,0
19/03/2020,Argentina,Chaco,2,0,0,0,0
19/03/2020,Argentina,Córdoba,3,0,0,0,0
19/03/2020,Argentina,Río Negro,1,0,0,0,0
19/03/2020,Argentina,Santa Fe,1,0,0,0,0
19/03/2020,Argentina,Tucumán,1,0,0,0,0
