"fecha","provincia","codigo indec provincia","departamento","codigo Indec departamento","localidad","codigo indec localidad","origen de financiamiento","tipo","ultima_actualizacion","total","positivos"
"2020-02-11","CABA","02","COMUNA 1","001","RETIRO","010","Privado","Privado","2020-05-14","2",""
"2020-02-20","Mendoza","50","Capital","007","1A. SECCION","010","Público","Provincial","2020-05-14","1",""
"2020-02-27","Buenos Aires","06","La Plata","441","LA PLATA","030","Público","Provincial","2020-05-14","2",""
"2020-02-27","Buenos Aires","06","San Isidro","756","SAN ISIDRO","010","Privado","Privado","2020-05-14","1",""
"2020-02-27","Tierra del Fuego","94","Ushuaia","014","USHUAIA","020","Público","Provincial","2020-05-14","1",""
"2020-02-28","CABA","02","COMUNA 3","003","BALVANERA","010","Privado","Privado","2020-05-14","2",""
"2020-02-28","CABA","02","COMUNA 3","003","BALVANERA","010","Privado","Obra social","2020-05-14","3",""
"2020-02-28","Buenos Aires","06","General Pueyrredón","357","MAR DEL PLATA","110","Público","Nacional","2020-05-14","1",""
"2020-02-28","Buenos Aires","06","San Isidro","756","ACASSUSO","010","Público","Municipal","2020-05-14","1",""
"2020-02-28","Buenos Aires","06","San Isidro","756","BOULOGNE SUR MER","010","Público","Municipal","2020-05-14","2",""
"2020-02-28","Córdoba","14","Tercero Arriba","161","RIO TERCERO","150","Público","Provincial","2020-05-14","1",""
"2020-03-02","CABA","02","COMUNA 4","004","BARRACAS","010","Privado","Privado","2020-05-14","1",""
"2020-03-02","CABA","02","COMUNA 5","005","BOEDO","010","Privado","Privado","2020-05-14","1",""
"2020-03-02","Buenos Aires","06","La Plata","441","LA PLATA","030","Público","Provincial","2020-05-14","2",""
"2020-03-02","San Juan","70","Capital","028","SAN JUAN","010","Público","Provincial","2020-05-14","1",""
"2020-03-03","CABA","02","COMUNA 1","001","CIUDAD DE BUENOS AIRES","010","Público","Provincial","2020-05-14","1",""
"2020-03-03","CABA","02","COMUNA 2","002","RECOLETA","010","Privado","Privado","2020-05-14","2","1"
"2020-03-03","CABA","02","COMUNA 3","003","BALVANERA","010","Privado","Obra social","2020-05-14","1",""
"2020-03-03","CABA","02","COMUNA 4","004","PARQUE PATRICIOS","010","Público","Municipal","2020-05-14","2",""
"2020-03-03","Buenos Aires","06","San Isidro","756","ACASSUSO","010","Público","Municipal","2020-05-14","1",""
"2020-03-03","Corrientes","18","Capital","021","CORRIENTES","020","Público","Provincial","2020-05-14","1",""
"2020-03-04","CABA","02","COMUNA 2","002","RECOLETA","010","Privado","Privado","2020-05-14","3",""
"2020-03-04","Buenos Aires","06","Olavarría","595","OLAVARRIA","070","Público","Municipal","2020-05-14","1",""
"2020-03-04","Córdoba","14","Capital","014","CORDOBA","010","Público","Provincial","2020-05-14","1",""
"2020-03-04","Formosa","34","Formosa","014","FORMOSA","020","Público","Provincial","2020-05-14","1",""
"2020-03-05","CABA","02","COMUNA 2","002","RECOLETA","010","Público","Municipal","2020-05-14","2",""
"2020-03-05","CABA","02","COMUNA 3","003","BALVANERA","010","Privado","Obra social","2020-05-14","1",""
"2020-03-05","CABA","02","COMUNA 14","014","PALERMO","010","Privado","Privado","2020-05-14","1",""
"2020-03-05","Buenos Aires","06","Tigre","805","GENERAL PACHECO","010","Público","Provincial","2020-05-14","1",""
"2020-03-05","Entre Ríos","30","Paraná","084","PARANA","160","Público","Provincial","2020-05-14","1",""
"2020-03-05","Misiones","54","Iguazú","063","PUERTO IGUAZU","030","Público","Provincial","2020-05-14","1",""
"2020-03-06","CABA","02","COMUNA 1","001","CIUDAD DE BUENOS AIRES","010","Público","Provincial","2020-05-14","1","1"
"2020-03-06","CABA","02","COMUNA 1","001","RETIRO","010","Privado","Privado","2020-05-14","1",""
"2020-03-06","CABA","02","COMUNA 2","002","RECOLETA","010","Privado","Privado","2020-05-14","3","3"
"2020-03-06","CABA","02","COMUNA 4","004","BARRACAS","010","Privado","Privado","2020-05-14","1","1"
"2020-03-06","CABA","02","COMUNA 4","004","PARQUE PATRICIOS","010","Público","Municipal","2020-05-14","1",""
"2020-03-06","CABA","02","COMUNA 5","005","BOEDO","010","Privado","Privado","2020-05-14","1",""
"2020-03-06","Buenos Aires","06","La Plata","441","LA PLATA","030","Público","Provincial","2020-05-14","1",""
"2020-03-06","Buenos Aires","06","General San Martín","371","CIUDAD DEL LIBERTADOR GENERAL SAN MARTIN","010","Público","Municipal","2020-05-14","1","1"
"2020-03-06","Córdoba","14","Capital","014","CORDOBA","010","Privado","Privado","2020-05-14","1","1"
"2020-03-07","CABA","02","COMUNA 1","001","CONSTITUCION","010","Público","Nacional","2020-05-14","1",""
"2020-03-07","CABA","02","COMUNA 1","001","SAN TELMO","010","Privado","Privado","2020-05-14","2",""
"2020-03-07","CABA","02","COMUNA 2","002","RECOLETA","010","Privado","Privado","2020-05-14","1",""
"2020-03-07","CABA","02","COMUNA 4","004","BOCA","010","Público","Municipal","2020-05-14","1","1"
